intersection_id,cv_score_predicted,cv_split
176268014,0.6121768951416016,unlabelled
176268028,0.6430242657661438,unlabelled
176269017,0.6424325108528137,unlabelled
176274090,0.6326949596405029,unlabelled
176275195,0.6358477473258972,train
176275196,0.6145564913749695,unlabelled
176275201,0.5964633226394653,unlabelled
177266031,0.6060716509819031,unlabelled
177267010,0.6129593253135681,unlabelled
177267087,0.6256378293037415,unlabelled
177268025,0.6032776236534119,unlabelled
177273031,0.6292920708656311,unlabelled
177273035,0.6212157607078552,unlabelled
177273045,0.647489070892334,unlabelled
177273046,0.6445597410202026,unlabelled
177273178,0.6133008003234863,unlabelled
177273181,0.6246247887611389,train
177274013,0.6317644119262695,unlabelled
178272015,0.6068521738052368,unlabelled
178272159,0.6363418102264404,unlabelled
178273039,0.6382157206535339,train
178273112,0.6445631384849548,unlabelled
179265069,0.6415671706199646,val
179265077,0.611733078956604,train
179272027,0.6493508219718933,unlabelled
179272092,0.6351110339164734,unlabelled
179273008,0.6465345025062561,unlabelled
179274126,0.629572331905365,train
179275041,0.6260499358177185,unlabelled
179275043,0.638602077960968,unlabelled
179275080,0.6126084923744202,unlabelled
179276010,0.6266827583312988,unlabelled
179276012,0.629783034324646,unlabelled
180270033,0.6302170157432556,unlabelled
180271045,0.643448531627655,train
180271187,0.6178245544433594,val
180272041,0.6393190026283264,train
180273138,0.6279486417770386,unlabelled
180273173,0.6408546566963196,unlabelled
180274015,0.6412791013717651,unlabelled
180274016,0.6353779435157776,unlabelled
180274017,0.6140363216400146,unlabelled
180274019,0.6257920861244202,unlabelled
180274021,0.612554132938385,unlabelled
180274022,0.6170174479484558,unlabelled
180274023,0.6297998428344727,unlabelled
180274024,0.6208186745643616,unlabelled
180274025,0.6244889497756958,unlabelled
180274026,0.611319899559021,unlabelled
180274028,0.6439809799194336,unlabelled
